Customer_ID,Customer_Name,City,Region
C101,Aarav Traders,Hyderabad,South
C102,Bright Stores,Bengaluru,South
C103,City Mart,Chennai,South
C104,Delta Enterprises,Vijayawada,South
C105,Elite Retail,Pune,West
C106,Fresh Choice,Hyderabad,South
C107,Galaxy Supplies,Bengaluru,South
C108,Green Basket,Chennai,South
C109,Horizon Retail,Mumbai,West
C110,Ideal Stores,Pune,West
C111,Jupiter Mart,Hyderabad,South
C112,Kaveri Traders,Vijayawada,South
C113,Lotus Retail,Chennai,South
C114,Metro Supplies,Mumbai,West
C115,Nova Stores,Bengaluru,South
C116,Om Sai Traders,Hyderabad,South
C117,Prime Mart,Pune,West
C118,Quick Buy,Chennai,South
C119,Royal Enterprises,Mumbai,West
C120,Sunrise Stores,Vijayawada,South
