Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount,Unit_Price,Unit_Cost,Sales_Amount,Cost_Amount,Profit,Payment_Mode
ORD02001,2026-02-01,C112,P106,3,0.0,8500,6500,25500.0,19500,6000.0,UPI
ORD02002,2026-02-09,C105,P107,4,0.1,12000,9000,43200.0,36000,7200.0,Card
ORD02003,2026-02-28,C105,P106,1,0.15,8500,6500,7225.0,6500,725.0,Cash
ORD02004,2026-02-27,C109,P114,4,0.1,32000,25500,115200.0,102000,13200.0,Cash
ORD02005,2026-02-06,C109,P114,7,0.0,32000,25500,224000.0,178500,45500.0,UPI
ORD02006,2026-02-16,C103,P106,5,0.1,8500,6500,38250.0,32500,5750.0,Bank Transfer
ORD02007,2026-02-03,C119,P106,5,0.05,8500,6500,40375.0,32500,7875.0,UPI
ORD02008,2026-02-20,C116,P113,7,0.1,24000,19000,151200.0,133000,18200.0,UPI
ORD02009,2026-02-28,C116,P103,1,0.0,1200,700,1200.0,700,500.0,Card
ORD02010,2026-02-27,C103,P106,3,0.0,8500,6500,25500.0,19500,6000.0,Card
ORD02011,2026-02-04,C120,P108,2,0.05,2200,1300,4180.0,2600,1580.0,UPI
ORD02012,2026-02-19,C101,P111,1,0.0,1800,1050,1800.0,1050,750.0,Cash
ORD02013,2026-02-26,C120,P111,2,0.0,1800,1050,3600.0,2100,1500.0,Card
ORD02014,2026-02-03,C111,P102,7,0.15,14000,10500,83300.0,73500,9800.0,Bank Transfer
ORD02015,2026-02-19,C117,P105,6,0.0,18000,14500,108000.0,87000,21000.0,Card
ORD02016,2026-02-20,C108,P114,2,0.0,32000,25500,64000.0,51000,13000.0,Card
ORD02017,2026-02-07,C104,P101,3,0.0,55000,47000,165000.0,141000,24000.0,Bank Transfer
ORD02018,2026-02-20,C106,P112,6,0.1,3200,2400,17280.0,14400,2880.0,UPI
ORD02019,2026-02-09,C108,P115,2,0.0,1800,1100,3600.0,2200,1400.0,Bank Transfer
ORD02020,2026-02-01,C120,P101,7,0.05,55000,47000,365750.0,329000,36750.0,UPI
ORD02021,2026-02-08,C103,P105,6,0.1,18000,14500,97200.0,87000,10200.0,UPI
ORD02022,2026-02-07,C116,P112,7,0.15,3200,2400,19040.0,16800,2240.0,UPI
ORD02023,2026-02-18,C103,P113,2,0.0,24000,19000,48000.0,38000,10000.0,Bank Transfer
ORD02024,2026-02-08,C118,P103,7,0.15,1200,700,7140.0,4900,2240.0,UPI
ORD02025,2026-02-01,C114,P104,3,0.1,700,380,1890.0,1140,750.0,Cash
ORD02026,2026-02-11,C118,P103,2,0.1,1200,700,2160.0,1400,760.0,Bank Transfer
ORD02027,2026-02-28,C102,P101,2,0.1,55000,47000,99000.0,94000,5000.0,Cash
ORD02028,2026-02-25,C103,P101,2,0.15,55000,47000,93500.0,94000,-500.0,UPI
ORD02029,2026-02-25,C116,P112,1,0.1,3200,2400,2880.0,2400,480.0,Card
ORD02030,2026-02-18,C109,P112,1,0.15,3200,2400,2720.0,2400,320.0,UPI
ORD02031,2026-02-23,C104,P114,1,0.1,32000,25500,28800.0,25500,3300.0,Cash
ORD02032,2026-02-10,C101,P113,3,0.05,24000,19000,68400.0,57000,11400.0,Cash
ORD02033,2026-02-03,C104,P114,6,0.1,32000,25500,172800.0,153000,19800.0,Bank Transfer
ORD02034,2026-02-07,C101,P105,7,0.15,18000,14500,107100.0,101500,5600.0,Card
ORD02035,2026-02-28,C114,P106,5,0.0,8500,6500,42500.0,32500,10000.0,Bank Transfer
ORD02036,2026-02-16,C116,P103,2,0.1,1200,700,2160.0,1400,760.0,Cash
ORD02037,2026-02-26,C120,P112,7,0.0,3200,2400,22400.0,16800,5600.0,UPI
ORD02038,2026-02-16,C108,P109,2,0.05,3500,2200,6650.0,4400,2250.0,Card
ORD02039,2026-02-25,C107,P105,3,0.0,18000,14500,54000.0,43500,10500.0,UPI
ORD02040,2026-02-20,C103,P108,2,0.05,2200,1300,4180.0,2600,1580.0,UPI
ORD02041,2026-02-28,C117,P113,1,0.1,24000,19000,21600.0,19000,2600.0,Card
ORD02042,2026-02-17,C101,P101,5,0.0,55000,47000,275000.0,235000,40000.0,Bank Transfer
ORD02043,2026-02-02,C116,P114,4,0.0,32000,25500,128000.0,102000,26000.0,UPI
ORD02044,2026-02-01,C112,P105,2,0.15,18000,14500,30600.0,29000,1600.0,Cash
ORD02045,2026-02-16,C119,P115,7,0.0,1800,1100,12600.0,7700,4900.0,UPI
