Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount,Unit_Price,Unit_Cost,Sales_Amount,Cost_Amount,Profit,Payment_Mode
ORD01001,2026-01-07,C115,P105,1,0.15,18000,14500,15300.0,14500,800.0,Cash
ORD01002,2026-01-20,C115,P113,7,0.1,24000,19000,151200.0,133000,18200.0,UPI
ORD01003,2026-01-29,C119,P102,7,0.15,14000,10500,83300.0,73500,9800.0,UPI
ORD01004,2026-01-15,C112,P115,6,0.05,1800,1100,10260.0,6600,3660.0,upi
ORD01005,2026-01-11,C120,P105,5,0.05,18000,14500,85500.0,72500,13000.0,Bank Transfer
ORD01006,2026-01-08,C103,P108,3,0.1,2200,1300,5940.0,3900,2040.0,UPI
ORD01007,2026-01-29,C105,P110,4,0.0,6500,4800,26000.0,19200,6800.0,Cash
ORD01008,2026-01-21,C119,P109,6,0.0,3500,2200,21000.0,13200,7800.0,UPI
ORD01009,2026-01-07,C107,P112,3,0.15,3200,2400,8160.0,7200,960.0,UPI 
ORD01010,2026-01-26,C109,P112,3,0.0,3200,2400,9600.0,7200,2400.0,Card
ORD01011,2026-01-19,C107,P112,1,0.15,3200,2400,2720.0,2400,320.0,Bank Transfer
ORD01012,2026-01-23,C118,P113,3,0.1,24000,19000,64800.0,57000,7800.0,Card
ORD01013,2026-01-11,C104,P109,5,0.1,3500,2200,15750.0,11000,4750.0,Cash
ORD01014,2026-01-11,C114,P113,7,0.1,24000,19000,151200.0,133000,18200.0,UPI
ORD01015,2026-01-24,C118,P115,6,0.1,1800,1100,9720.0,6600,3120.0,Bank Transfer
ORD01016,2026-01-21,C109,P113,3,0.1,24000,19000,64800.0,57000,7800.0,UPI
ORD01017,2026-01-04,C102,P101,1,0.05,55000,47000,52250.0,47000,5250.0,UPI
ORD01018,2026-01-08,C120,P109,5,0.0,3500,2200,17500.0,11000,6500.0,Cash
ORD01019,2026-01-24,C115,P107,2,0.1,12000,9000,21600.0,18000,3600.0,Card
ORD01020,2026-01-03,C107,P109,7,0.0,3500,2200,24500.0,15400,9100.0,Card
ORD01021,2026-01-22,C112,P108,7,0.0,2200,1300,15400.0,9100,6300.0,UPI
ORD01022,2026-01-21,C108,P101,6,0.0,55000,47000,330000.0,282000,48000.0,Bank Transfer
ORD01023,2026-01-02,C115,P112,7,0.0,3200,2400,22400.0,16800,5600.0,Card
ORD01024,2026-01-24,C103,P108,3,0.05,2200,1300,6270.0,3900,2370.0,Bank Transfer
ORD01025,2026-01-12,C114,P108,1,0.0,2200,1300,2200.0,1300,900.0,Card
ORD01026,2026-01-30,C117,P115,7,0.1,1800,1100,11340.0,7700,3640.0,Bank Transfer
ORD01027,2026-01-06,C104,P111,7,0.15,1800,1050,10710.0,7350,3360.0,Cash
ORD01028,2026-01-02,C118,P103,2,0.0,1200,700,2400.0,1400,1000.0,Bank Transfer
ORD01029,2026-01-28,C108,P101,2,0.05,55000,47000,104500.0,94000,10500.0,Cash
ORD01030,2026-01-21,C104,P108,4,0.05,2200,1300,8360.0,5200,3160.0,Cash
ORD01031,2026-01-01,C102,P103,5,0.0,1200,700,6000.0,3500,2500.0,Bank Transfer
ORD01032,2026-01-12,C106,P103,3,0.15,1200,700,3060.0,2100,960.0,Cash
ORD01033,2026-01-26,C110,P101,7,0.0,55000,47000,385000.0,329000,56000.0,UPI
ORD01034,2026-01-22,C104,P111,7,0.05,1800,1050,11970.0,7350,4620.0,Cash
ORD01035,2026-01-29,C118,P105,1,0.0,18000,14500,18000.0,14500,3500.0,Card
ORD01036,2026-01-12,C112,P110,4,0.1,6500,4800,23400.0,19200,4200.0,Bank Transfer
ORD01037,2026-01-25,C102,P107,5,0.05,12000,9000,57000.0,45000,12000.0,UPI
ORD01038,2026-01-17,C110,P110,4,0.0,6500,4800,26000.0,19200,6800.0,Bank Transfer
ORD01039,2026-01-27,C104,P109,6,0.1,3500,2200,18900.0,13200,5700.0,Card
ORD01040,2026-01-27,C114,P112,5,0.0,3200,2400,16000.0,12000,4000.0,Card
ORD01041,2026-01-31,C116,P107,7,0.0,12000,9000,84000.0,63000,21000.0,Card
ORD01042,2026-01-10,C115,P109,7,0.0,3500,2200,24500.0,15400,9100.0,Cash
ORD01043,2026-01-28,C108,P108,5,0.1,2200,1300,9900.0,6500,3400.0,Cash
ORD01044,2026-01-28,C114,P112,7,0.1,3200,2400,20160.0,16800,3360.0,Bank Transfer
ORD01045,2026-01-16,C108,P102,3,0.0,14000,10500,42000.0,31500,10500.0,Bank Transfer
