Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount,Unit_Price,Unit_Cost,Sales_Amount,Cost_Amount,Profit,Payment_Mode
ORD03001,2026-03-30,C112,P101,4,0.05,55000,47000,209000.0,188000,21000.0,Bank Transfer
ORD03002,2026-03-14,C118,P107,3,0.15,12000,9000,30600.0,27000,3600.0,UPI
ORD03003,2026-03-30,C103,P108,5,0.0,2200,1300,11000.0,6500,4500.0,Bank Transfer
ORD03004,2026-03-20,C101,P107,4,0.1,12000,9000,43200.0,36000,7200.0,Cash
ORD03005,2026-03-05,C101,P114,5,0.0,32000,25500,160000.0,127500,32500.0,Cash
ORD03006,2026-03-12,C119,P105,7,0.0,18000,14500,126000.0,101500,24500.0,Bank Transfer
ORD03007,2026-03-16,C111,P112,1,0.15,3200,2400,2720.0,2400,320.0,UPI
ORD03008,2026-03-26,C105,P101,7,0.1,55000,47000,346500.0,329000,17500.0,Card
ORD03009,2026-03-26,C112,P107,5,0.1,12000,9000,54000.0,45000,9000.0,Cash
ORD03010,2026-03-16,C103,P113,5,0.1,24000,19000,108000.0,95000,13000.0,UPI
ORD03011,2026-03-21,C101,P107,2,0.05,12000,9000,22800.0,18000,4800.0,UPI
ORD03012,2026-03-07,C101,P109,2,0.15,3500,2200,5950.0,4400,1550.0,Card
ORD03013,2026-03-04,C108,P103,7,0.1,1200,700,7560.0,4900,2660.0,Cash
ORD03014,2026-03-01,C110,P109,6,0.05,3500,2200,19950.0,13200,6750.0,Cash
ORD03015,2026-03-30,C111,P114,7,0.0,32000,25500,224000.0,178500,45500.0,UPI
ORD03016,2026-03-30,C112,P101,2,0.0,55000,47000,110000.0,94000,16000.0,UPI
ORD03017,2026-03-05,C113,P101,5,0.05,55000,47000,261250.0,235000,26250.0,Card
ORD03018,2026-03-23,C112,P114,3,0.05,32000,25500,91200.0,76500,14700.0,Card
ORD03019,2026-03-26,C114,P104,7,0.15,700,380,4165.0,2660,1505.0,Cash
ORD03020,2026-03-10,C102,P109,5,0.15,3500,2200,14875.0,11000,3875.0,Bank Transfer
ORD03021,2026-03-22,C119,P106,3,0.0,8500,6500,25500.0,19500,6000.0,Cash
ORD03022,2026-03-05,C118,P113,3,0.1,24000,19000,64800.0,57000,7800.0,UPI
ORD03023,2026-03-04,C103,P111,2,0.0,1800,1050,3600.0,2100,1500.0,Cash
ORD03024,2026-03-02,C117,P103,7,0.1,1200,700,7560.0,4900,2660.0,Bank Transfer
ORD03025,2026-03-20,C108,P101,4,0.1,55000,47000,198000.0,188000,10000.0,Card
ORD03026,2026-03-31,C110,P104,1,0.15,700,380,595.0,380,215.0,Bank Transfer
ORD03027,2026-03-10,C102,P112,2,0.0,3200,2400,6400.0,4800,1600.0,Bank Transfer
ORD03028,2026-03-26,C119,P113,2,0.0,24000,19000,48000.0,38000,10000.0,Bank Transfer
ORD03029,2026-03-19,C109,P109,4,0.05,3500,2200,13300.0,8800,4500.0,Card
ORD03030,2026-03-26,C107,P103,1,0.15,1200,700,1020.0,700,320.0,Bank Transfer
ORD03031,2026-03-01,C104,P112,5,0.1,3200,2400,14400.0,12000,2400.0,Bank Transfer
ORD03032,2026-03-24,C118,P109,6,0.0,3500,2200,21000.0,13200,7800.0,Bank Transfer
ORD03033,2026-03-05,C113,P107,7,0.1,12000,9000,75600.0,63000,12600.0,UPI
ORD03034,2026-03-13,C111,P112,6,0.0,3200,2400,19200.0,14400,4800.0,Bank Transfer
ORD03035,2026-03-04,C104,P114,5,0.0,32000,25500,160000.0,127500,32500.0,Card
ORD03036,2026-03-16,C104,P115,2,0.0,1800,1100,3600.0,2200,1400.0,Bank Transfer
ORD03037,2026-03-24,C110,P104,1,0.15,700,380,595.0,380,215.0,Bank Transfer
ORD03038,2026-03-16,C105,P103,2,0.0,1200,700,2400.0,1400,1000.0,Card
ORD03039,2026-03-23,C109,P110,3,0.1,6500,4800,17550.0,14400,3150.0,Bank Transfer
ORD03040,2026-03-02,C103,P115,2,0.15,1800,1100,3060.0,2200,860.0,Card
ORD03041,2026-03-17,C117,P105,2,0.15,18000,14500,30600.0,29000,1600.0,Bank Transfer
ORD03042,2026-03-28,C103,P105,5,0.15,18000,14500,76500.0,72500,4000.0,Card
ORD03043,2026-03-27,C116,P103,5,0.15,1200,700,5100.0,3500,1600.0,Bank Transfer
ORD03044,2026-03-20,C104,P112,5,0.15,3200,2400,13600.0,12000,1600.0,Bank Transfer
ORD03045,2026-03-24,C118,P109,6,0.05,3500,2200,19950.0,13200,6750.0,UPI
